Time, Head-X, Head-Y, Head-Z, Head-rX, Head-rY, Head-rZ, LeftHand-X, LeftHand-Y, LeftHand-Z, LeftHand-rX, LeftHand-rY, LeftHand-rZ, RightHand-X, RightHand-Y, RightHand-Z, RightHand-rX, RightHand-rY, RightHand-rZ
106.1489, -12.892, 1.426, -0.023, 9.432, 105.447, 1.217, -13.000, 0.000, 0.000, 0.000, 90.000, 0.000, -13.000, 0.000, 0.000, 0.000, 90.000, 0.000
106.6378, -12.938, 1.432, 0.036, 5.447, 95.129, 2.726, -12.782, 0.863, -0.029, 0.353, 63.278, 15.998, -12.763, 0.806, 0.103, 6.492, 97.289, 10.227
107.1378, -12.919, 1.437, 0.043, 2.773, 95.783, 3.057, -12.964, 0.626, -0.203, 52.666, 94.207, 30.519, -12.923, 0.635, 0.256, 43.936, 90.378, 340.475
107.6378, -12.940, 1.442, 0.041, 359.940, 97.494, 2.353, -12.879, 0.651, -0.131, 39.641, 76.613, 30.640, -12.836, 0.669, 0.150, 27.633, 111.901, 337.713
108.1378, -12.944, 1.441, 0.039, 0.641, 93.853, 2.069, -12.903, 0.648, -0.181, 37.371, 96.746, 26.921, -12.895, 0.644, 0.227, 36.092, 88.187, 334.377
108.6378, -12.949, 1.446, 0.046, 357.284, 79.436, 1.759, -12.895, 0.641, -0.161, 40.204, 85.016, 25.134, -12.903, 0.661, 0.211, 30.546, 89.065, 336.317
109.1378, -12.955, 1.443, 0.030, 358.828, 98.385, 1.734, -12.879, 0.658, -0.140, 31.959, 78.271, 23.751, -12.901, 0.654, 0.225, 30.984, 88.500, 328.430
109.6378, -12.949, 1.442, 0.030, 359.501, 98.733, 1.130, -12.800, 0.752, -0.139, 14.077, 96.994, 12.764, -12.843, 0.689, 0.230, 22.116, 77.028, 343.266
110.1378, -12.964, 1.491, -0.178, 1.743, 94.285, 1.657, -12.765, 0.904, -0.307, 6.902, 88.286, 4.708, -12.780, 0.845, -0.040, 13.186, 80.589, 1.906
110.6378, -12.978, 1.491, -0.462, 1.501, 90.015, 2.111, -12.805, 0.880, -0.608, 12.037, 90.946, 4.740, -12.808, 0.839, -0.320, 17.611, 73.118, 14.147
111.1378, -12.466, 1.490, -0.196, 1.952, 90.260, 2.363, -12.305, 0.870, -0.343, 14.074, 89.916, 6.298, -12.302, 0.834, -0.053, 18.955, 72.437, 15.703
111.6378, -11.505, 1.490, -0.190, 1.696, 88.059, 1.980, -11.362, 0.864, -0.314, 13.230, 80.957, 11.426, -11.346, 0.830, -0.059, 17.493, 77.115, 12.754
112.1378, -10.491, 1.492, -0.095, 0.183, 82.694, 1.289, -10.346, 0.869, -0.182, 11.112, 70.251, 13.225, -10.419, 0.722, 0.073, 30.321, 89.915, 341.339
112.6378, -9.568, 1.489, -0.040, 2.240, 88.523, 2.335, -9.429, 0.874, -0.122, 10.008, 67.645, 13.642, -9.529, 0.701, 0.145, 36.639, 89.502, 336.616
113.1378, -8.660, 1.488, -0.026, 2.645, 89.373, 1.749, -8.521, 0.918, -0.110, 349.771, 65.097, 12.022, -8.601, 0.710, 0.146, 33.573, 96.606, 338.245
113.6378, -7.769, 1.484, 0.100, 4.695, 61.688, 358.283, -7.633, 0.917, 0.001, 350.575, 62.700, 351.441, -7.715, 0.713, 0.254, 34.820, 97.602, 336.409
114.1378, -7.050, 1.479, 0.614, 8.107, 78.669, 1.818, -6.924, 0.922, 0.540, 348.814, 56.012, 349.711, -6.996, 0.712, 0.777, 33.786, 99.016, 336.765
114.6378, -6.313, 1.477, 0.142, 8.184, 130.313, 4.820, -6.187, 0.918, 0.127, 351.363, 53.876, 1.135, -6.230, 0.712, 0.362, 32.466, 99.200, 339.223
115.1378, -5.452, 1.478, 0.188, 8.171, 73.361, 357.994, -5.349, 0.893, 0.119, 353.953, 42.685, 12.926, -5.397, 0.715, 0.363, 33.283, 95.359, 336.068
115.6378, -4.478, 1.482, -0.093, 4.538, 134.509, 4.847, -4.362, 0.906, -0.108, 351.620, 45.286, 17.257, -4.392, 0.710, 0.128, 32.673, 98.961, 339.551
116.1378, -3.661, 1.475, -0.330, 10.778, 89.704, 1.846, -3.543, 0.903, -0.412, 353.869, 60.231, 3.180, -3.592, 0.714, -0.154, 32.515, 99.147, 336.637
116.6378, -2.993, 1.475, -0.301, 10.615, 72.149, 1.697, -2.846, 0.879, -0.448, 4.687, 90.057, 356.709, -2.944, 0.713, -0.130, 34.561, 93.944, 335.846
117.1378, -3.014, 1.461, -0.240, 17.969, 37.706, 0.476, -2.838, 0.871, -0.401, 7.044, 79.518, 358.530, -2.976, 0.719, -0.099, 31.751, 82.560, 334.618
117.6378, -3.010, 1.461, -0.200, 17.376, 18.440, 359.606, -2.825, 0.876, -0.240, 4.804, 37.091, 6.029, -3.053, 0.732, 0.014, 31.219, 48.219, 331.660
118.1378, -2.942, 1.491, -0.285, 359.163, 8.660, 1.613, -2.821, 0.859, -0.219, 10.929, 355.168, 10.687, -3.128, 0.728, -0.175, 25.213, 16.203, 337.482
118.6378, -2.945, 1.449, 1.115, 27.359, 12.975, 0.503, -2.856, 0.872, 1.214, 5.945, 355.147, 8.743, -3.169, 0.747, 1.246, 24.294, 12.337, 332.393
119.1378, -2.619, 1.475, 2.245, 11.622, 41.996, 4.123, -2.544, 0.868, 2.329, 9.213, 0.277, 8.139, -2.843, 0.718, 2.376, 28.912, 21.927, 334.146
119.6378, -2.318, 1.491, 2.493, 0.162, 60.295, 2.517, -2.214, 0.874, 2.571, 11.402, 4.719, 12.374, -2.476, 0.735, 2.695, 20.774, 27.100, 339.734
120.1378, -2.308, 1.493, 2.425, 357.386, 124.589, 0.060, -2.157, 0.900, 2.478, 3.331, 46.202, 3.406, -2.281, 0.732, 2.693, 24.616, 80.474, 335.669
120.6378, -1.692, 1.490, 1.631, 0.248, 113.669, 359.038, -1.530, 0.891, 1.584, 5.907, 70.919, 2.809, -1.614, 0.719, 1.864, 28.974, 97.206, 328.429
121.1378, -1.013, 1.497, 0.899, 353.811, 96.290, 359.326, -0.885, 0.819, 0.813, 17.360, 56.303, 20.504, -0.951, 0.717, 1.084, 27.654, 97.340, 332.297
121.6378, -0.167, 1.483, 0.196, 4.611, 96.613, 1.418, -0.063, 0.825, 0.132, 17.205, 44.858, 19.890, -0.115, 0.715, 0.368, 27.278, 96.623, 334.050
122.1378, 0.633, 1.479, -0.276, 8.888, 86.855, 0.908, 0.768, 0.855, -0.351, 10.485, 63.093, 5.330, 0.639, 0.720, -0.062, 29.188, 81.916, 338.019
122.6378, 1.412, 1.477, -0.193, 10.504, 87.453, 1.138, 1.556, 0.885, -0.259, 5.161, 62.566, 2.234, 1.426, 0.722, 0.012, 27.713, 80.158, 339.998
123.1378, 2.142, 1.465, -0.114, 17.770, 84.677, 2.210, 2.260, 0.977, -0.132, 352.038, 37.127, 350.537, 2.142, 0.720, 0.078, 26.671, 77.840, 341.566
123.6378, 2.385, 1.459, -0.082, 21.776, 82.347, 1.707, 2.792, 1.221, -0.059, 309.951, 63.084, 17.561, 2.361, 0.723, 0.116, 26.629, 71.738, 342.591
124.1378, 2.375, 1.463, -0.073, 20.223, 85.008, 2.999, 2.641, 1.249, -0.175, 289.556, 81.764, 350.208, 2.303, 0.702, 0.122, 31.528, 66.188, 341.664
124.6378, 2.331, 1.512, -0.086, 345.695, 94.118, 1.074, 2.456, 0.898, -0.156, 0.755, 55.851, 17.076, 2.398, 0.730, 0.111, 26.673, 90.388, 339.725
125.1378, 2.254, 1.484, 0.028, 3.671, 7.858, 0.947, 2.480, 0.926, 0.023, 358.237, 38.461, 8.241, 2.281, 0.748, 0.198, 24.361, 64.369, 339.022
125.6378, 2.278, 1.458, -0.006, 21.828, 338.557, 0.955, 2.430, 0.928, 0.102, 1.179, 353.263, 12.434, 2.063, 0.715, 0.082, 32.445, 349.403, 335.737
126.1378, 2.325, 1.458, -0.012, 21.070, 348.362, 1.346, 2.460, 0.907, 0.071, 6.111, 356.031, 12.318, 2.144, 0.727, 0.091, 26.883, 3.287, 337.518
126.6378, 2.337, 1.487, -0.022, 4.258, 7.405, 2.942, 2.450, 0.911, 0.081, 4.661, 359.060, 9.992, 2.152, 0.726, 0.116, 27.978, 7.850, 336.708
127.1378, 2.362, 1.483, 0.078, 6.022, 8.896, 2.635, 2.502, 0.910, 0.174, 4.388, 9.152, 7.506, 2.168, 0.717, 0.202, 30.080, 7.382, 336.121
127.6378, 2.398, 1.481, 0.079, 6.093, 9.935, 1.693, 2.529, 0.885, 0.146, 10.316, 10.163, 9.045, 2.197, 0.728, 0.188, 27.619, 6.764, 337.590
128.1378, 2.295, 1.439, 0.101, 31.640, 341.439, 1.177, 2.450, 0.849, 0.188, 15.736, 352.057, 21.897, 2.160, 0.766, 0.233, 20.777, 15.305, 332.961
128.6378, 2.107, 1.434, 0.128, 33.847, 333.630, 1.168, 2.219, 0.874, 0.226, 13.884, 339.202, 11.584, 1.879, 0.712, 0.099, 32.741, 331.423, 344.594
129.1378, 0.949, 1.434, -0.093, 33.426, 3.287, 3.510, 1.056, 0.865, -0.040, 17.296, 348.969, 13.623, 0.742, 0.730, -0.059, 27.041, 345.856, 355.416
