Time, Head-X, Head-Y, Head-Z, Head-rX, Head-rY, Head-rZ, LeftHand-X, LeftHand-Y, LeftHand-Z, LeftHand-rX, LeftHand-rY, LeftHand-rZ, RightHand-X, RightHand-Y, RightHand-Z, RightHand-rX, RightHand-rY, RightHand-rZ
184.6822, -11.410, 1.446, 0.034, 352.890, 275.863, 359.739, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000
185.1711, -11.310, 1.428, -0.043, 352.376, 77.971, 0.103, -11.358, 0.919, 0.160, 355.407, 317.435, 34.077, -11.517, 0.654, 0.168, 23.637, 9.544, 322.677
185.6711, -11.294, 1.417, -0.066, 356.568, 100.282, 0.077, -11.303, 0.913, 0.147, 356.440, 330.048, 32.040, -11.401, 0.641, 0.172, 28.198, 41.807, 321.050
186.1711, -11.350, 1.445, 0.026, 354.978, 347.837, 359.559, -11.527, 0.952, 0.076, 346.552, 269.546, 27.101, -11.564, 0.710, 0.005, 21.841, 339.822, 317.085
186.6711, -11.393, 1.441, -0.028, 359.934, 271.309, 0.223, -11.548, 0.921, -0.030, 355.892, 240.993, 14.643, -11.411, 0.646, -0.291, 36.976, 251.405, 315.828
187.1711, -11.400, 1.440, -0.019, 0.677, 273.948, 359.336, -11.551, 0.908, -0.012, 357.842, 248.227, 11.709, -11.507, 0.686, -0.215, 22.856, 272.767, 329.576
187.6711, -11.443, 1.408, -0.013, 21.320, 278.632, 0.183, -11.544, 0.892, -0.013, 2.354, 243.211, 14.316, -11.480, 0.652, -0.225, 38.343, 283.831, 322.424
188.1711, -11.446, 1.412, 0.024, 17.933, 311.587, 4.602, -11.552, 0.885, 0.015, 4.880, 253.776, 15.428, -11.496, 0.650, -0.220, 36.081, 280.490, 322.804
188.6711, -11.444, 1.435, 0.015, 4.017, 296.866, 0.670, -11.567, 0.900, 0.059, 0.677, 264.655, 12.881, -11.545, 0.665, -0.163, 30.890, 294.198, 323.467
189.1711, -11.451, 1.423, -0.029, 10.176, 246.453, 3.306, -11.580, 0.890, 0.009, 4.446, 248.412, 10.355, -11.471, 0.670, -0.245, 29.705, 259.091, 323.779
189.6711, -11.387, 1.425, -0.085, 9.066, 195.083, 0.498, -11.539, 0.882, -0.136, 6.425, 218.889, 15.271, -11.247, 0.655, -0.250, 37.825, 219.907, 320.876
190.1711, -11.328, 1.418, -0.139, 13.586, 140.048, 0.815, -11.390, 0.889, -0.302, 6.566, 156.928, 17.187, -11.185, 0.682, -0.221, 26.994, 188.579, 326.421
190.6711, -11.370, 1.426, -0.151, 8.140, 92.368, 359.629, -11.286, 0.876, -0.303, 8.611, 105.887, 14.711, -11.233, 0.663, 0.022, 32.654, 106.920, 324.096
191.1711, -11.285, 1.493, -0.016, 359.817, 90.007, 0.840, -11.102, 0.960, -0.112, 1.105, 87.702, 13.675, -11.145, 0.735, 0.169, 26.267, 86.530, 334.678
191.6711, -10.462, 1.488, 0.164, 359.994, 94.010, 0.362, -10.279, 0.946, 0.080, 4.180, 84.193, 13.887, -10.351, 0.719, 0.348, 28.889, 93.602, 335.230
192.1711, -9.385, 1.492, 0.061, 359.433, 92.157, 0.821, -9.223, 0.926, 0.015, 7.102, 66.899, 25.736, -9.335, 0.705, 0.233, 34.116, 95.173, 332.509
192.6711, -8.333, 1.499, -0.012, 357.488, 91.375, 0.519, -8.146, 0.948, -0.040, 4.306, 60.120, 26.157, -8.208, 0.725, 0.172, 29.057, 96.623, 327.895
193.1711, -7.366, 1.503, -0.051, 358.630, 91.600, 359.290, -7.169, 0.962, -0.047, 1.850, 51.402, 21.581, -7.249, 0.723, 0.138, 30.015, 95.059, 331.552
193.6711, -6.328, 1.503, -0.030, 0.796, 90.339, 359.489, -6.192, 0.946, -0.191, 9.517, 73.230, 22.281, -6.353, 0.768, 0.238, 26.083, 76.541, 326.910
194.1711, -5.369, 1.528, -0.029, 333.557, 88.269, 359.843, -5.174, 0.966, -0.032, 356.642, 59.251, 15.227, -5.220, 0.746, 0.120, 23.760, 103.883, 329.180
194.6711, -4.397, 1.534, 0.012, 323.172, 83.274, 2.282, -4.187, 0.963, -0.008, 358.204, 56.869, 19.299, -4.306, 0.709, 0.216, 35.136, 91.448, 327.511
195.1711, -3.428, 1.482, -0.101, 7.843, 121.077, 3.820, -3.268, 0.964, -0.075, 358.682, 56.563, 20.454, -3.354, 0.720, 0.128, 28.835, 91.366, 331.010
195.6711, -2.690, 1.479, -0.771, 9.519, 114.999, 1.517, -2.532, 0.960, -0.787, 359.880, 67.815, 19.576, -2.600, 0.720, -0.528, 30.089, 86.049, 333.036
196.1711, -2.202, 1.461, -0.287, 16.893, 351.694, 355.934, -1.987, 0.949, -0.297, 1.634, 30.599, 14.745, -2.142, 0.757, -0.127, 21.475, 64.796, 330.083
