Time, Head-X, Head-Y, Head-Z, Head-rX, Head-rY, Head-rZ, LeftHand-X, LeftHand-Y, LeftHand-Z, LeftHand-rX, LeftHand-rY, LeftHand-rZ, RightHand-X, RightHand-Y, RightHand-Z, RightHand-rX, RightHand-rY, RightHand-rZ
271.0489, -11.436, 1.452, 0.100, 353.008, 95.315, 0.941, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000
271.5378, -11.426, 1.436, 0.112, 2.842, 93.233, 3.116, -11.310, 0.830, 0.056, 358.237, 44.886, 23.458, -11.345, 0.651, 0.253, 31.863, 108.814, 334.418
272.0378, -11.410, 1.435, 0.033, 0.663, 91.481, 1.565, -11.294, 0.827, -0.012, 357.885, 39.814, 24.243, -11.388, 0.639, 0.214, 33.305, 90.973, 329.778
272.5378, -11.405, 1.438, 0.027, 0.739, 96.746, 357.185, -11.252, 0.847, -0.029, 348.921, 67.647, 10.318, -11.317, 0.668, 0.212, 29.418, 109.604, 327.753
273.0378, -11.415, 1.441, 0.074, 359.080, 91.574, 359.912, -11.253, 0.848, 0.013, 350.541, 67.527, 11.271, -11.347, 0.661, 0.267, 30.091, 98.957, 329.038
273.5378, -11.413, 1.440, 0.135, 358.329, 62.864, 0.188, -11.265, 0.838, 0.091, 352.251, 56.724, 9.575, -11.369, 0.666, 0.335, 31.003, 89.541, 326.378
274.0378, -11.263, 1.493, 0.148, 359.533, 95.623, 1.344, -11.118, 0.898, 0.099, 353.121, 58.216, 15.076, -11.202, 0.703, 0.330, 32.631, 94.858, 335.101
274.5378, -10.058, 1.494, 0.412, 357.731, 95.451, 0.109, -9.898, 0.902, 0.361, 351.594, 60.374, 15.421, -9.970, 0.711, 0.595, 31.121, 101.137, 337.312
275.0378, -9.088, 1.480, 0.303, 7.654, 95.401, 0.258, -8.939, 0.902, 0.244, 351.523, 62.405, 16.352, -9.005, 0.711, 0.489, 31.648, 100.370, 337.153
275.5378, -8.070, 1.470, 0.220, 14.412, 94.914, 0.543, -7.944, 0.895, 0.163, 353.698, 59.593, 17.012, -8.017, 0.705, 0.402, 33.564, 102.461, 336.880
276.0378, -7.065, 1.492, 0.135, 0.517, 94.252, 0.292, -6.925, 0.894, 0.091, 353.905, 55.788, 16.954, -7.006, 0.705, 0.318, 33.781, 100.184, 337.392
276.5378, -6.040, 1.482, 0.197, 6.680, 80.065, 359.974, -5.903, 0.895, 0.156, 353.329, 51.258, 16.306, -5.992, 0.711, 0.379, 33.030, 96.622, 335.905
277.0378, -4.894, 1.520, 0.234, 1.407, 88.816, 0.120, -4.756, 0.925, 0.215, 353.960, 47.321, 16.444, -4.869, 0.736, 0.426, 34.476, 93.603, 336.729
277.5378, -3.993, 1.485, 0.735, 2.896, 41.659, 359.553, -3.832, 0.896, 0.687, 352.123, 43.971, 14.952, -3.957, 0.715, 0.898, 32.629, 88.518, 333.535
278.0378, -3.247, 1.479, 1.361, 8.612, 68.738, 1.050, -3.102, 0.901, 1.339, 351.310, 43.456, 15.529, -3.236, 0.711, 1.549, 32.947, 87.683, 333.964
278.5378, -2.546, 1.484, 0.857, 1.846, 160.446, 3.278, -2.372, 0.907, 0.866, 352.374, 61.513, 17.772, -2.437, 0.708, 1.124, 31.131, 91.684, 341.754
279.0378, -2.050, 1.484, 0.142, 4.307, 104.541, 357.930, -1.917, 0.907, 0.063, 350.844, 74.105, 13.807, -1.909, 0.733, 0.317, 25.140, 110.289, 337.178
279.5378, -0.937, 1.500, 0.086, 353.826, 95.877, 0.917, -0.781, 0.908, 0.054, 350.842, 56.647, 15.337, -0.912, 0.702, 0.293, 35.085, 96.883, 335.150
280.0378, 0.236, 1.483, 0.010, 5.955, 91.961, 0.243, 0.384, 0.903, -0.020, 352.069, 54.575, 15.307, 0.294, 0.720, 0.199, 27.592, 96.111, 336.801
280.5378, 1.426, 1.474, -0.022, 11.550, 90.055, 0.918, 1.593, 0.993, -0.086, 328.984, 71.381, 0.374, 1.449, 0.710, 0.174, 31.385, 94.902, 335.751
281.0378, 2.436, 1.465, -0.012, 17.551, 89.767, 0.952, 2.679, 1.276, -0.065, 280.675, 38.787, 41.906, 2.457, 0.717, 0.181, 28.013, 93.733, 339.077
281.5378, 2.440, 1.465, 0.002, 18.383, 87.800, 1.702, 2.870, 1.151, -0.044, 325.489, 76.720, 2.451, 2.418, 0.710, 0.201, 30.573, 84.950, 340.473
282.0378, 2.408, 1.507, -0.001, 348.359, 108.644, 1.819, 2.650, 1.042, -0.099, 333.387, 80.185, 2.902, 2.478, 0.718, 0.208, 26.363, 88.610, 340.141
282.5378, 2.538, 1.497, -0.641, 355.643, 117.483, 0.101, 2.768, 1.077, -0.761, 322.878, 91.200, 9.677, 2.650, 0.723, -0.427, 22.924, 91.505, 339.554
283.0378, 1.989, 1.493, -1.055, 358.879, 95.665, 1.107, 2.205, 1.006, -1.175, 346.803, 100.491, 7.878, 2.042, 0.719, -0.844, 24.401, 84.652, 340.077
283.5378, 2.118, 1.481, -0.451, 5.096, 89.492, 0.055, 2.334, 1.003, -0.509, 347.009, 89.944, 9.049, 2.148, 0.730, -0.215, 24.846, 82.143, 337.538
