Time, Head-X, Head-Y, Head-Z, Head-rX, Head-rY, Head-rZ, LeftHand-X, LeftHand-Y, LeftHand-Z, LeftHand-rX, LeftHand-rY, LeftHand-rZ, RightHand-X, RightHand-Y, RightHand-Z, RightHand-rX, RightHand-rY, RightHand-rZ
302.9711, -11.524, 1.450, 0.177, 353.385, 4.091, 0.383, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000
303.46, -11.522, 1.450, 0.171, 354.003, 4.870, 0.169, -11.507, 0.905, 0.292, 353.623, 305.806, 34.474, -11.671, 0.655, 0.227, 35.998, 20.351, 338.376
303.96, -11.522, 1.450, 0.169, 353.863, 5.023, 0.247, -11.505, 0.904, 0.291, 354.167, 306.296, 34.096, -11.669, 0.654, 0.224, 36.069, 20.340, 338.886
304.46, -11.520, 1.449, 0.172, 354.284, 5.111, 0.084, -11.505, 0.903, 0.292, 354.336, 306.193, 34.065, -11.669, 0.653, 0.224, 36.233, 20.264, 339.135
304.96, -11.520, 1.449, 0.173, 354.488, 5.071, 0.053, -11.505, 0.903, 0.292, 354.164, 306.225, 34.110, -11.670, 0.654, 0.225, 36.080, 19.787, 338.949
305.46, -11.521, 1.448, 0.176, 355.206, 4.768, 0.200, -11.506, 0.903, 0.292, 354.432, 306.002, 33.972, -11.671, 0.654, 0.225, 36.120, 19.501, 338.955
305.96, -11.523, 1.447, 0.176, 356.432, 3.947, 0.498, -11.507, 0.904, 0.293, 354.165, 305.495, 34.332, -11.671, 0.655, 0.228, 35.581, 19.090, 338.693
306.46, -11.563, 1.447, 0.165, 355.231, 316.834, 1.153, -11.543, 0.904, 0.289, 353.189, 293.067, 33.660, -11.698, 0.664, 0.200, 34.442, 5.875, 336.283
306.96, -11.525, 1.393, 0.215, 29.524, 0.400, 2.824, -11.547, 0.906, 0.280, 354.180, 289.907, 35.229, -11.705, 0.648, 0.160, 37.436, 0.783, 336.896
307.46, -11.492, 1.419, 0.198, 13.302, 41.403, 5.340, -11.522, 0.920, 0.307, 348.212, 324.796, 21.879, -11.709, 0.663, 0.222, 31.554, 15.437, 340.540
307.96, -11.406, 1.479, 0.172, 3.346, 79.397, 5.471, -11.361, 0.955, 0.307, 354.655, 7.096, 10.281, -11.616, 0.708, 0.317, 35.074, 36.157, 338.345
308.46, -11.381, 1.490, 0.161, 2.539, 70.678, 359.656, -11.305, 0.983, 0.293, 351.814, 1.161, 18.619, -11.542, 0.709, 0.348, 30.966, 24.550, 341.775
308.96, -11.251, 1.487, 0.248, 4.959, 88.125, 359.127, -11.059, 0.987, 0.273, 345.763, 55.717, 6.126, -11.233, 0.761, 0.476, 17.464, 65.264, 353.138
309.46, -11.285, 1.478, 0.324, 5.033, 93.036, 0.788, -11.131, 0.968, 0.260, 342.279, 78.494, 355.167, -11.154, 0.892, 0.532, 350.925, 74.414, 351.721
309.96, -11.273, 1.484, 0.305, 4.188, 91.863, 1.939, -11.112, 0.975, 0.246, 344.402, 71.422, 358.981, -11.148, 0.868, 0.519, 355.181, 66.656, 6.380
310.46, -11.283, 1.489, 0.257, 2.775, 92.128, 0.322, -11.113, 0.972, 0.203, 348.255, 74.714, 352.123, -11.178, 0.812, 0.452, 3.669, 76.626, 356.385
310.96, -11.291, 1.488, 0.237, 2.951, 93.309, 359.372, -11.127, 0.959, 0.191, 353.600, 73.222, 354.934, -11.197, 0.791, 0.438, 11.693, 75.405, 0.353
311.46, -11.296, 1.487, 0.241, 3.505, 91.786, 359.468, -11.129, 0.959, 0.201, 353.591, 71.934, 355.151, -11.205, 0.801, 0.445, 8.644, 75.478, 1.035
311.96, -11.139, 1.485, 0.010, 4.864, 93.376, 359.780, -10.971, 0.951, -0.048, 357.515, 80.053, 0.407, -11.119, 0.721, 0.223, 32.458, 76.070, 343.102
312.46, -10.451, 1.432, -0.090, 33.692, 98.539, 1.192, -10.252, 1.066, -0.157, 326.400, 85.773, 356.817, -10.410, 0.738, 0.127, 26.614, 79.099, 350.267
312.96, -9.713, 1.423, -0.210, 37.075, 100.694, 2.695, -9.474, 1.096, -0.289, 345.037, 96.674, 335.500, -9.717, 0.726, 0.021, 30.467, 77.351, 345.226
313.46, -8.945, 1.474, -0.286, 12.141, 89.682, 0.550, -8.757, 0.995, -0.337, 344.593, 72.110, 14.243, -8.931, 0.732, -0.082, 28.798, 80.425, 346.523
313.96, -7.988, 1.485, -0.258, 5.291, 88.184, 0.621, -7.822, 0.968, -0.286, 349.372, 63.346, 17.023, -7.969, 0.715, -0.059, 32.752, 80.736, 346.991
314.46, -6.922, 1.488, -0.086, 3.237, 79.381, 0.704, -6.756, 0.960, -0.130, 350.286, 63.187, 18.000, -6.890, 0.713, 0.091, 33.256, 93.415, 338.818
314.96, -5.800, 1.499, -0.124, 354.097, 99.756, 0.501, -5.632, 0.958, -0.143, 350.752, 61.374, 19.721, -5.773, 0.707, 0.079, 34.773, 89.938, 340.481
