Time, Head-X, Head-Y, Head-Z, Head-rX, Head-rY, Head-rZ, LeftHand-X, LeftHand-Y, LeftHand-Z, LeftHand-rX, LeftHand-rY, LeftHand-rZ, RightHand-X, RightHand-Y, RightHand-Z, RightHand-rX, RightHand-rY, RightHand-rZ
668.9933, -11.713, 1.435, -0.230, 5.969, 208.292, 2.583, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000, -11.500, 0.000, 0.000, 0.000, 0.000, 0.000
669.4822, -11.708, 1.494, -0.217, 359.391, 212.417, 359.885, -11.852, 1.048, -0.332, 340.003, 217.694, 345.616, -11.732, 1.003, -0.415, 343.112, 209.855, 4.701
669.9822, -11.708, 1.493, -0.224, 0.380, 210.006, 0.360, -11.850, 1.041, -0.337, 343.663, 216.367, 346.933, -11.716, 0.993, -0.414, 346.313, 205.516, 4.701
670.4822, -11.704, 1.486, -0.233, 4.472, 207.616, 2.054, -11.839, 1.041, -0.338, 341.882, 214.777, 348.716, -11.714, 0.993, -0.418, 346.246, 206.165, 4.555
670.9822, -11.697, 1.488, -0.216, 4.196, 211.492, 1.220, -11.847, 1.042, -0.324, 342.517, 223.926, 354.632, -11.719, 1.000, -0.411, 344.505, 209.127, 3.914
671.4822, -11.694, 1.488, -0.211, 3.378, 211.118, 1.415, -11.837, 1.046, -0.323, 340.977, 220.289, 354.718, -11.718, 0.999, -0.407, 344.878, 208.306, 4.501
671.9822, -11.693, 1.488, -0.212, 3.512, 210.940, 1.933, -11.836, 1.049, -0.324, 339.737, 218.728, 354.991, -11.718, 0.998, -0.406, 344.788, 207.484, 5.143
672.4822, -11.682, 1.527, -0.180, 329.040, 216.476, 0.280, -11.826, 1.050, -0.320, 337.811, 207.378, 341.141, -11.721, 0.989, -0.406, 347.553, 208.238, 4.832
672.9822, -11.658, 1.484, -0.222, 5.240, 174.773, 4.549, -11.815, 1.059, -0.338, 336.955, 207.476, 355.981, -11.700, 1.013, -0.408, 340.011, 204.422, 3.782
673.4822, -11.621, 1.467, -0.218, 13.859, 133.439, 356.510, -11.746, 1.045, -0.371, 340.991, 181.594, 346.126, -11.609, 1.010, -0.396, 341.044, 184.854, 4.209
673.9822, -11.739, 1.468, -0.205, 12.398, 264.077, 8.205, -11.782, 1.042, -0.357, 343.068, 204.381, 358.981, -11.666, 0.999, -0.424, 342.934, 207.106, 3.133
674.4822, -11.705, 1.448, -0.144, 17.210, 322.725, 13.574, -11.820, 1.047, -0.265, 341.780, 241.555, 1.113, -11.760, 0.982, -0.392, 346.516, 240.428, 3.719
674.9822, -11.672, 1.501, -0.204, 346.372, 293.478, 1.091, -11.819, 1.039, -0.273, 343.733, 239.369, 2.784, -11.764, 0.994, -0.397, 341.382, 239.132, 5.270
675.4822, -11.651, 1.464, -0.346, 12.194, 151.097, 358.703, -11.730, 1.050, -0.471, 335.234, 172.261, 2.443, -11.614, 0.999, -0.500, 340.914, 183.127, 1.394
675.9822, -11.736, 1.484, -0.268, 5.275, 87.072, 0.315, -11.628, 1.068, -0.426, 335.267, 105.234, 353.634, -11.561, 0.994, -0.305, 348.195, 115.836, 0.011
676.4822, -10.856, 1.483, 0.038, 4.974, 86.707, 0.973, -10.703, 1.063, -0.061, 334.851, 89.823, 356.209, -10.673, 0.993, 0.079, 352.040, 96.265, 6.095
676.9822, -8.726, 1.484, -0.018, 6.177, 89.645, 0.996, -8.532, 1.077, -0.085, 335.406, 81.398, 357.543, -8.534, 1.009, 0.056, 348.778, 86.062, 7.991
677.4822, -6.802, 1.483, -0.084, 7.116, 89.767, 359.018, -6.605, 1.065, -0.146, 346.636, 95.755, 348.044, -6.618, 1.000, 0.012, 351.061, 85.214, 2.546
677.9822, -4.726, 1.512, -0.323, 344.937, 69.329, 359.952, -4.516, 1.058, -0.377, 345.452, 89.418, 354.072, -4.528, 1.001, -0.232, 351.379, 80.568, 3.804
678.4822, -3.297, 1.454, -0.050, 25.218, 91.994, 1.201, -3.136, 1.051, -0.105, 341.050, 85.769, 355.856, -3.145, 1.003, 0.063, 348.920, 78.715, 5.953
678.9822, -3.280, 1.449, -0.044, 27.891, 90.590, 0.778, -3.067, 1.068, -0.129, 330.773, 87.891, 358.659, -3.139, 0.997, 0.059, 349.949, 79.251, 8.680
679.4822, -2.624, 1.434, -0.053, 34.739, 89.455, 0.921, -2.410, 1.004, -0.127, 343.971, 85.004, 354.818, -2.493, 1.001, 0.071, 349.268, 72.530, 7.740
679.9822, -2.625, 1.435, -0.054, 34.157, 88.327, 0.526, -2.416, 1.015, -0.166, 342.632, 95.921, 359.941, -2.497, 0.996, 0.067, 350.341, 73.351, 7.617
680.4822, -2.631, 1.440, -0.051, 31.819, 89.129, 1.386, -2.445, 1.007, -0.159, 345.212, 93.001, 358.938, -2.500, 0.997, 0.065, 349.871, 74.320, 6.933
680.9822, 0.818, 2.135, -0.036, 27.883, 89.447, 0.775, 1.002, 1.697, -0.147, 345.235, 93.308, 356.095, 0.960, 1.686, 0.076, 351.203, 76.995, 4.576
681.4822, 5.688, 1.686, -0.022, 25.986, 89.334, 0.966, 5.872, 1.243, -0.128, 345.497, 91.711, 357.719, 5.830, 1.235, 0.092, 350.012, 74.443, 8.938
681.9822, 7.514, 1.488, 0.013, 3.831, 87.705, 0.803, 7.714, 1.057, -0.077, 326.022, 90.131, 356.637, 7.686, 1.000, 0.124, 349.123, 77.322, 5.153
682.4822, 9.616, 1.487, 0.461, 4.676, 87.940, 1.896, 9.812, 1.050, 0.390, 329.313, 83.358, 357.963, 9.785, 1.003, 0.575, 346.604, 74.733, 8.879
682.9822, 9.701, 1.489, 0.461, 3.387, 89.250, 1.541, 9.910, 1.044, 0.389, 332.876, 86.252, 2.265, 9.885, 0.983, 0.557, 355.461, 81.708, 1.163
683.4822, 9.685, 1.496, 0.461, 359.885, 93.207, 1.108, 9.897, 1.003, 0.388, 352.785, 99.601, 9.252, 9.879, 0.977, 0.551, 358.849, 71.422, 7.824
683.9822, 9.674, 1.493, 0.484, 1.179, 93.354, 359.957, 9.872, 1.014, 0.437, 343.208, 94.151, 3.635, 9.863, 0.985, 0.599, 355.051, 69.203, 11.365
684.4822, 9.671, 1.493, 0.481, 1.916, 96.817, 359.434, 9.846, 1.007, 0.426, 344.909, 95.011, 358.188, 9.860, 0.990, 0.561, 351.587, 81.719, 6.123
684.9822, 9.662, 1.493, 0.474, 2.379, 91.644, 2.806, 9.852, 1.016, 0.405, 343.859, 91.620, 1.288, 9.860, 0.999, 0.534, 349.608, 81.668, 4.625
685.4822, 9.656, 1.494, 0.469, 1.578, 90.516, 1.929, 9.857, 1.017, 0.416, 344.709, 88.155, 2.777, 9.853, 1.008, 0.538, 346.142, 81.372, 5.096
685.9822, 9.661, 1.493, 0.471, 1.901, 91.362, 2.312, 9.859, 1.016, 0.414, 345.030, 88.965, 2.862, 9.858, 1.004, 0.538, 347.814, 81.317, 4.327
686.4822, 9.664, 1.494, 0.462, 1.607, 94.038, 1.215, 9.866, 1.019, 0.400, 344.336, 92.745, 0.024, 9.867, 1.004, 0.539, 347.653, 79.611, 7.176
686.9822, 9.666, 1.493, 0.457, 1.760, 94.849, 0.481, 9.868, 1.019, 0.391, 345.402, 92.392, 355.952, 9.869, 1.005, 0.542, 347.066, 79.656, 8.474
687.4822, 9.668, 1.493, 0.460, 1.893, 94.000, 0.879, 9.866, 1.016, 0.392, 345.920, 91.680, 356.732, 9.870, 1.002, 0.544, 348.384, 79.204, 7.993
687.9822, 9.670, 1.493, 0.461, 1.897, 94.101, 1.134, 9.868, 1.015, 0.391, 346.013, 91.959, 357.136, 9.871, 0.998, 0.541, 349.399, 80.590, 5.431
688.4822, 9.658, 1.504, 0.467, 352.772, 91.049, 2.266, 9.873, 1.015, 0.395, 346.170, 90.424, 358.847, 9.869, 0.992, 0.539, 351.993, 84.072, 4.527
