Time, Head-X, Head-Y, Head-Z, Head-rX, Head-rY, Head-rZ, LeftHand-X, LeftHand-Y, LeftHand-Z, LeftHand-rX, LeftHand-rY, LeftHand-rZ, RightHand-X, RightHand-Y, RightHand-Z, RightHand-rX, RightHand-rY, RightHand-rZ
688.5933, -10.746, 1.451, -0.799, 353.904, 91.326, 2.360, -10.500, 0.000, -0.500, 0.000, 0.000, 0.000, -10.500, 0.000, -0.500, 0.000, 0.000, 0.000
689.0822, -10.749, 1.448, -0.803, 356.782, 92.789, 1.647, -10.531, 0.964, -0.874, 345.933, 90.752, 359.448, -10.535, 0.940, -0.725, 352.829, 83.290, 4.864
689.5822, -10.752, 1.448, -0.804, 356.620, 92.979, 1.694, -10.533, 0.965, -0.874, 345.619, 90.532, 359.921, -10.536, 0.941, -0.728, 352.921, 83.797, 4.935
690.0822, -10.751, 1.448, -0.803, 356.747, 92.573, 1.750, -10.533, 0.964, -0.872, 345.543, 90.174, 359.917, -10.537, 0.940, -0.726, 352.862, 83.353, 4.983
690.5822, -10.750, 1.448, -0.803, 356.730, 92.928, 1.709, -10.533, 0.964, -0.874, 345.304, 90.658, 359.882, -10.536, 0.940, -0.725, 352.958, 83.183, 5.155
691.0822, -10.746, 1.447, -0.802, 357.302, 92.652, 1.699, -10.532, 0.963, -0.874, 345.340, 90.579, 359.854, -10.535, 0.941, -0.726, 352.361, 83.338, 4.925
691.5822, -10.331, 1.485, -0.447, 7.566, 70.700, 3.961, -10.124, 1.016, -0.541, 345.122, 88.799, 359.262, -10.130, 0.999, -0.391, 351.760, 82.768, 6.253
692.0822, -9.147, 1.513, 0.175, 346.952, 75.713, 359.664, -8.931, 1.008, 0.114, 347.587, 84.114, 359.887, -8.950, 0.985, 0.253, 354.000, 83.023, 359.531
692.5822, -8.649, 1.518, 0.222, 340.880, 43.533, 0.538, -8.411, 1.011, 0.152, 346.287, 85.107, 357.362, -8.439, 0.997, 0.284, 350.760, 85.026, 358.660
693.0822, -8.169, 1.490, 0.251, 4.598, 91.513, 2.536, -7.969, 1.016, 0.209, 345.485, 85.357, 358.437, -7.986, 0.997, 0.345, 351.220, 84.961, 358.892
693.5822, -6.295, 1.485, 0.060, 7.816, 94.584, 1.182, -6.102, 1.014, -0.002, 345.877, 90.058, 358.908, -6.108, 0.990, 0.151, 354.317, 83.470, 4.720
694.0822, -4.777, 1.484, 0.300, 7.935, 73.874, 1.401, -4.579, 1.013, 0.221, 346.232, 87.868, 358.475, -4.594, 0.992, 0.366, 352.749, 84.638, 0.000
694.5822, -3.158, 1.487, 0.728, 6.331, 76.911, 1.432, -2.957, 1.014, 0.675, 346.102, 82.364, 358.904, -2.987, 0.994, 0.815, 351.306, 80.816, 358.269
695.0822, -2.735, 1.495, 0.900, 359.868, 42.424, 1.805, -2.505, 1.012, 0.857, 344.997, 77.474, 4.114, -2.548, 1.001, 0.981, 349.594, 73.407, 358.393
695.5822, -2.739, 1.489, 0.909, 3.330, 37.228, 5.997, -2.541, 1.011, 0.925, 345.940, 47.646, 0.678, -2.596, 0.997, 1.032, 350.923, 54.739, 359.454
696.0822, -2.724, 1.486, 0.818, 5.066, 133.677, 3.243, -2.528, 1.026, 0.821, 342.638, 78.420, 4.968, -2.523, 0.994, 0.948, 351.096, 83.239, 0.790
696.5822, -2.727, 1.489, 0.836, 1.280, 140.391, 2.157, -2.551, 1.024, 0.749, 343.332, 103.550, 2.114, -2.505, 0.994, 0.864, 349.703, 108.506, 359.746
697.0822, -2.714, 1.487, 0.844, 3.656, 136.259, 3.258, -2.517, 1.027, 0.779, 343.608, 94.230, 5.350, -2.496, 0.989, 0.903, 350.853, 98.524, 1.407
697.5822, -2.717, 1.497, 0.827, 356.489, 147.063, 3.187, -2.523, 1.024, 0.750, 344.271, 99.352, 5.142, -2.495, 0.986, 0.873, 352.013, 103.119, 1.309
698.0822, -2.365, 1.478, 0.939, 11.305, 94.405, 0.217, -2.195, 1.020, 0.837, 344.879, 94.157, 3.738, -2.177, 0.992, 0.967, 351.548, 96.465, 1.446
698.5822, -0.557, 1.474, 1.079, 14.325, 92.480, 1.441, -0.383, 1.021, 1.005, 344.682, 85.686, 4.232, -0.376, 0.992, 1.136, 352.340, 89.850, 358.876
699.0822, 1.399, 1.465, 1.052, 19.974, 89.863, 1.487, 1.565, 1.020, 0.973, 344.604, 86.290, 3.785, 1.578, 0.995, 1.111, 352.084, 88.119, 1.223
699.5822, 1.779, 1.506, 1.093, 351.368, 46.764, 1.303, 1.999, 1.012, 1.024, 346.194, 76.624, 1.445, 1.981, 0.999, 1.156, 350.596, 78.488, 0.137
700.0822, 1.758, 1.497, 1.096, 356.834, 29.318, 3.284, 1.975, 1.029, 1.109, 341.738, 51.055, 357.788, 1.940, 1.001, 1.217, 349.976, 59.512, 359.690
700.5822, 1.737, 1.484, 1.119, 5.223, 6.729, 359.933, 1.976, 1.022, 1.099, 338.646, 60.746, 2.026, 1.916, 1.006, 1.220, 345.679, 58.590, 0.494
701.0822, 1.702, 1.475, 1.129, 10.143, 349.446, 358.729, 1.948, 1.009, 1.136, 344.138, 47.517, 357.689, 1.870, 1.012, 1.241, 343.865, 50.420, 358.115
701.5822, 1.734, 1.487, 1.124, 4.297, 12.833, 0.034, 1.948, 1.020, 1.137, 340.459, 46.167, 3.369, 1.889, 1.006, 1.233, 345.208, 55.497, 358.711
702.0822, 1.738, 1.489, 1.125, 3.716, 14.076, 0.941, 1.973, 1.021, 1.102, 341.001, 57.231, 1.668, 1.920, 1.008, 1.210, 344.618, 63.494, 358.241
702.5822, 1.788, 1.493, 1.091, 2.255, 65.464, 3.501, 1.980, 1.023, 1.079, 339.737, 62.649, 4.784, 1.947, 1.002, 1.191, 345.919, 71.358, 359.181
703.0822, 1.786, 1.494, 1.090, 1.610, 65.512, 2.893, 1.983, 1.026, 1.071, 338.994, 65.767, 3.963, 1.952, 1.004, 1.189, 345.578, 72.852, 359.205
703.5822, 1.778, 1.479, 1.026, 7.181, 158.654, 2.120, 1.947, 1.020, 0.965, 339.950, 104.758, 6.870, 1.988, 0.974, 1.096, 353.077, 107.752, 0.866
704.0822, 1.733, 1.484, 1.008, 6.207, 174.978, 1.973, 1.848, 1.046, 0.855, 336.225, 131.498, 8.214, 1.959, 0.996, 0.946, 350.963, 128.217, 6.552
704.5822, 1.762, 1.477, 0.992, 13.126, 175.224, 1.151, 1.806, 1.036, 0.824, 337.024, 155.422, 3.268, 1.949, 1.008, 0.865, 348.079, 152.262, 0.881
705.0822, 1.813, 1.486, 0.982, 5.662, 180.172, 359.150, 1.806, 1.024, 0.822, 344.097, 171.275, 3.159, 1.941, 1.002, 0.824, 347.762, 169.100, 0.775
705.5822, 1.857, 1.479, 0.996, 6.140, 179.723, 1.060, 1.792, 1.017, 0.833, 343.356, 190.733, 356.311, 1.953, 0.994, 0.827, 348.191, 173.239, 4.561
706.0822, 1.816, 1.486, 1.009, 6.105, 179.510, 1.418, 1.769, 1.035, 0.821, 342.285, 182.178, 355.977, 1.921, 1.015, 0.836, 345.796, 169.080, 5.596
706.5822, 1.784, 1.485, 1.011, 6.260, 179.965, 0.480, 1.731, 1.035, 0.824, 341.488, 184.067, 355.446, 1.890, 1.012, 0.832, 347.874, 168.803, 7.009
707.0822, 1.780, 1.485, 1.003, 5.820, 180.853, 0.869, 1.724, 1.036, 0.816, 341.065, 184.000, 355.511, 1.885, 1.012, 0.822, 347.473, 169.557, 8.284
707.5822, 1.784, 1.484, 0.994, 6.583, 180.753, 0.987, 1.728, 1.036, 0.808, 340.987, 183.734, 355.690, 1.884, 1.016, 0.814, 345.289, 170.794, 7.707
708.0822, 1.888, 1.461, 0.842, 21.224, 177.401, 1.841, 1.828, 1.033, 0.673, 341.790, 183.204, 355.286, 1.997, 1.018, 0.682, 344.714, 166.380, 4.745
708.5822, 1.908, 1.462, 0.258, 20.788, 177.996, 1.084, 1.847, 1.034, 0.091, 341.234, 184.164, 354.978, 2.025, 1.021, 0.101, 344.387, 164.110, 11.269
709.0822, 1.915, 1.458, 0.253, 22.876, 176.659, 1.487, 1.855, 1.033, 0.088, 341.981, 183.330, 355.036, 2.028, 1.012, 0.097, 348.023, 164.291, 10.309
709.5822, 1.916, 1.452, 0.245, 25.846, 175.762, 1.534, 1.869, 1.031, 0.089, 342.602, 177.113, 355.418, 2.026, 1.008, 0.099, 346.305, 162.341, 6.898
710.0822, 1.914, 1.492, 0.263, 1.654, 174.562, 2.305, 1.871, 1.043, 0.091, 338.347, 171.058, 344.957, 2.016, 1.010, 0.099, 344.643, 168.095, 11.723
710.5822, 1.913, 1.477, 0.258, 10.725, 174.166, 1.951, 1.857, 1.028, 0.086, 346.215, 181.772, 356.680, 2.027, 1.006, 0.104, 345.999, 161.606, 10.436
711.0822, 1.913, 1.476, 0.256, 11.586, 174.245, 0.118, 1.837, 1.181, 0.082, 313.361, 172.500, 355.621, 2.025, 1.010, 0.107, 343.109, 164.541, 9.964
711.5822, 1.916, 1.478, 0.266, 9.990, 174.723, 359.810, 1.777, 1.397, 0.093, 286.836, 99.163, 101.905, 2.026, 1.011, 0.109, 342.642, 164.942, 9.770
712.0822, 1.916, 1.479, 0.271, 9.685, 174.445, 359.392, 1.799, 1.299, 0.044, 344.016, 124.763, 80.118, 2.024, 1.014, 0.110, 341.479, 165.827, 9.527
